candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_notes
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,primary_source_url,https://pmc.ncbi.nlm.nih.gov/articles/PMC13370802/,https://doi.org/10.1002/hbm.70600,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,publication_status,Peer-reviewed journal article; Human Brain Mapping; 2026,"Peer-reviewed journal article (Human Brain Mapping, 2026)",,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,domain,Neuroimaging; affective neuroscience; individualized fMRI dynamics and control,Resting-state and mood-induction fMRI; computational psychiatry,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,dataset_or_cohort,Reanalysis of Zamoscik et al. remitted major depressive disorder cohort from Heidelberg,Remitted major depressive disorder (rMDD) and healthy-control fMRI cohort collected in Heidelberg,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,sample_scale,60 participants: 30 remitted MDD and 30 matched healthy controls; two 4.5-minute scans per person,60 participants: 30 rMDD and 30 healthy controls; 320 time points per participant across rest and sad-mood conditions,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,institution_count,1 institution/source cohort,1 institution/site reported (Heidelberg),,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,split_strategy,Per participant and condition: first 120 time points for training and last 40 for testing; hyperparameters were selected using test data in five subjects,Within-series split: first 120 points per condition for model training and final 40 for testing; five initialized models selected using lowest test loss,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,observation_process,3 T Siemens fMRI; TR 1.5 seconds; rest and sad-mood induction; 11 bilateral ROIs reduced to 66 principal-component features,Two 4.5-minute fMRI sessions; TR 1.5 s; 11 bilateral regions represented by three principal components each (66-dimensional observations),,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,missingness,No missing-data model reported; eight remitted-MDD participants used psychotropic medication; preprocessing removed nuisance and band-pass filtered signals,No explicit missing-data model reported; preprocessing and included time series were complete for the modeled segments,,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,censoring_or_competing_events,NA: no clinical time-to-event outcome; each scan is a fixed-length sequence,"NA: fixed experimental scans; no clinical event censoring, discharge, death, or competing-risk process",,
