candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_anchor,adjudication_notes
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,primary_source_url,https://pmc.ncbi.nlm.nih.gov/articles/PMC13370802/,https://doi.org/10.1002/hbm.70600,https://pmc.ncbi.nlm.nih.gov/articles/PMC13370802/,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for primary_source_url: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,publication_status,Peer-reviewed journal article; Human Brain Mapping; 2026,"Peer-reviewed journal article (Human Brain Mapping, 2026)",Peer-reviewed journal article; Human Brain Mapping; 2026,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for publication_status: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,domain,Neuroimaging; affective neuroscience; individualized fMRI dynamics and control,Resting-state and mood-induction fMRI; computational psychiatry,Neuroimaging; affective neuroscience; individualized fMRI dynamics and control,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for domain: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,dataset_or_cohort,Reanalysis of Zamoscik et al. remitted major depressive disorder cohort from Heidelberg,Remitted major depressive disorder (rMDD) and healthy-control fMRI cohort collected in Heidelberg,Reanalysis of Zamoscik et al. remitted major depressive disorder cohort from Heidelberg,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for dataset_or_cohort: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,sample_scale,60 participants: 30 remitted MDD and 30 matched healthy controls; two 4.5-minute scans per person,60 participants: 30 rMDD and 30 healthy controls; 320 time points per participant across rest and sad-mood conditions,60 participants: 30 remitted MDD and 30 matched healthy controls; two 4.5-minute scans per person,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for sample_scale: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,institution_count,1 institution/source cohort,1 institution/site reported (Heidelberg),1 institution/source cohort,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for institution_count: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,split_strategy,Per participant and condition: first 120 time points for training and last 40 for testing; hyperparameters were selected using test data in five subjects,Within-series split: first 120 points per condition for model training and final 40 for testing; five initialized models selected using lowest test loss,"Within each participant and condition, the first 120 time points trained the DSR model and the final 40 formed the test segment; five independently initialized models were fitted and the lowest-test-loss model was selected, so the test segment participated in model selection.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for split_strategy: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,observation_process,3 T Siemens fMRI; TR 1.5 seconds; rest and sad-mood induction; 11 bilateral ROIs reduced to 66 principal-component features,Two 4.5-minute fMRI sessions; TR 1.5 s; 11 bilateral regions represented by three principal components each (66-dimensional observations),3 T Siemens fMRI; TR 1.5 seconds; rest and sad-mood induction; 11 bilateral ROIs reduced to 66 principal-component features,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for observation_process: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,missingness,No missing-data model reported; eight remitted-MDD participants used psychotropic medication; preprocessing removed nuisance and band-pass filtered signals,No explicit missing-data model reported; preprocessing and included time series were complete for the modeled segments,No explicit missing-data model was reported; preprocessing produced complete modeled segments after nuisance removal and band-pass filtering.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for missingness: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,censoring_or_competing_events,NA: no clinical time-to-event outcome; each scan is a fixed-length sequence,"NA: fixed experimental scans; no clinical event censoring, discharge, death, or competing-risk process",NA: no clinical time-to-event outcome; each scan is a fixed-length sequence,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for censoring_or_competing_events: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
