candidate_id,title,primary_source_url,publication_status,domain,dataset_or_cohort,sample_scale,institution_count,split_strategy,observation_process,missingness,censoring_or_competing_events,state,observation_decoder,action,action_provenance,transition_mechanism,maximum_horizon,rollout_regime,capability_claim,baselines,state_fidelity_metrics,transition_metrics,rollout_stability,action_sensitivity,calibration_and_uncertainty,external_validation,decision_utility,safety_evaluation,statistical_analysis,causal_language,estimand,confounding_strategy,positivity_and_overlap,counterfactual_validation,code_access,weights_access,data_access,preprocessing_reproducibility,randomness,evidence_anchors,appraisal_strengths,appraisal_limitations,source_status,reviewer_confidence
"MWM-0008","A World Model of Radiologist Reading for Medical Image Representation Learning","https://arxiv.org/pdf/2605.23992","preprint","Chest radiography; radiologist visual-search representation learning","MIMIC-EYE/MIMIC-CXR for pretraining; GazeSearch ChestSearch; CheXpert; RSNA Pneumonia; SIIM-ACR Pneumothorax","MIMIC-EYE: 3,032 frontal CXRs; GazeSearch: 3,870 train and 488 test images; external diagnosis datasets: CheXpert 224,316 images, RSNA 26,684, SIIM-ACR 12,047","MIMIC-EYE derives from one hospital; external datasets add distinct sources, exact aggregate institution count NI","Official MIMIC-EYE split 2,729/151/152; GazeSearch 3,870/488; downstream benchmark splits and fixed-seed label fractions","Static frontal CXR paired with temporally ordered 60-Hz gaze and dwell time; fixations mapped to image patches and repeated visits merged","NA","NA","Image-patch latents plus the prefix of gaze-ordered visited patches with spatial, temporal, and dwell embeddings","Predicts the next fixated-patch latent and spatially completes unvisited patches; frozen representations feed diagnosis and seven-fixation scanpath heads","Radiologist fixation sequence/order; no clinical treatment or robot-control action","Observed expert gaze behavior","JEPA-style causal Transformer predicts next-fixation latent against an EMA target encoder; cross-attention performs spatial completion","One fixation step during pretraining; downstream scanpath decoder emits seven fixations","Teacher-forced observed gaze prefixes during pretraining; downstream inference starts from the image and does not freely simulate clinical state","Passive behavioral forecasting and representation learning, not intervention simulation","BioViL, MedKLIP, MGCA, GLoRIA, PRIOR, MedCLIP, CheXWorld, EGMA; GazeFormer, HAT, GazeSearch, LogitGaze variants","Diagnosis AUROC, accuracy, and F1; scanpath ScanMatch, SED, STDE, and MultiMatch; no direct latent-state fidelity metric","Next-fixation/scanpath metrics and downstream transfer; no clinical transition outcome metric","NI; no free-running long-horizon rollout","Chronological versus raster/random order; autoregressive-only and spatial-completion-only ablations","NI; no calibration or predictive-uncertainty evaluation","Transfer evaluated on CheXpert, RSNA, SIIM-ACR, and GazeSearch, but not in prospective clinical deployment","Frozen-feature diagnosis and scanpath probing only; no decision-impact study","NA","Fixed-seed label fractions; no confidence intervals or repeated-run variance reported","Uses causal attention/order terminology only; no causal treatment-effect claim","Prediction of expert gaze and image labels under the observed data distribution","NA","NA","NA","NI","NI","MIMIC data require credentialed access; other benchmark access varies by dataset","Detailed gaze-to-patch conversion, architecture, training, and downstream protocols","Fixed seed reported for label-fraction sampling; multi-seed model evaluation NI","Abstract p.1; Sec. 3 and Fig. 1 pp.3-5; Sec. 4 and Tables 1-5 pp.5-9; Limitations p.10; Appendices A-B pp.13-15","Controlled objective and ordering ablations; several external image benchmarks; explicit visual-search metrics","One gaze corpus and chest-radiography setting; no free-running dynamics, calibration, or statistical uncertainty; some baseline backbones differ","open-access","high"
"MWM-0018","Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis","https://arxiv.org/pdf/2609.09757","preprint","Real-time MRI of the vocal tract; speech-production representation learning","USC 75-speaker rtMRI corpus; in-house longitudinal rtMRI; Annot-16, USC LSS, GLOSS glossectomy, and stuttering evaluation cohorts","Pretraining: 92 speakers, 9,353 videos, 61.9 hours, 20.1M frames; evaluation includes Annot-16 16 speakers, USC LSS one speaker, GLOSS three individuals, and stuttering seven adults","USC plus in-house and clinical cohorts; exact collection-site count NI","Subject-disjoint and scanner-aware splits; phoneme probe uses 14 Annot-16 training speakers, one validation speaker, one test speaker, and USC LSS OOD; stuttering uses leave-one-subject-out","Grayscale rtMRI at 61-99 fps resampled to 50 fps; 32-frame, 0.64-second clips; audio and labels withheld from central self-supervision","NA","NA","Spatiotemporal V-JEPA2 latent representation of a vocal-tract rtMRI clip","Masked latent prediction; frozen probes decode phonemes, disfluency, and glossectomy status","No action in the central model; audio conditioning is an appendix experiment","NA for central model; observed audio in exploratory appendix experiment","Masked latent JEPA within clips after domain adaptation of V-JEPA2","32 frames or 0.64 seconds; exploratory audio-conditioned rollout is within the same window","Masked self-supervised prediction, not central free-running temporal rollout","Passive dynamics representation learning and measurement, not intervention simulation","Adapted and stock VideoMAE; stock V-JEPA2; DINOv2; ImageNet ViT; frozen-probe comparisons","Cohen kappa, phoneme error rate, macro-F1, balanced accuracy; representation standard deviation, effective rank, and cosine-similarity collapse diagnostics","Probe performance and masked-prediction representation diagnostics; no patient-state transition metric","Collapse diagnostics are reported, but no long-horizon rollout-drift evaluation","Domain-adaptation, video-versus-image, loss/context ablations; permuted-audio appendix test shows limited use of audio","NI; no calibrated predictive uncertainty","USC LSS is an out-of-distribution scanner/speaker test; small GLOSS and stuttering clinical cohorts","Representation-based speech measurement only; no clinical decision-impact evaluation","NA","Main comparisons report mean and SD over three seeds; no confidence intervals","No causal-effect language; world-model terminology refers to learned video structure","Predictive representation quality for speech-production signals","NA","NA","NA","NI","NI","Mix of public and private/in-house rtMRI cohorts","Detailed resampling, clip construction, splits, objectives, probes, and hyperparameters; private data limit full reproduction","Seeds 0, 1, and 2 reported","Abstract pp.1-2; Sec. 3 pp.3-5 and Table 9 p.19; Sec. 4 pp.6-9 and Tables 1-4; clinical evaluations pp.10-15 and Tables 5-8; Appendix Tables 12-20 pp.20-25; Limitations p.16","Subject-disjoint OOD testing, diverse probes, repeated seeds, and a reported negative audio-conditioning result","No clinically meaningful trajectory simulator; very small clinical cohorts; private pretraining data; no uncertainty calibration; audio conditioning was ineffective","open-access","high"
"MWM-0046","ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data","https://arxiv.org/pdf/2605.21963","preprint","Longitudinal chronic kidney disease EHR forecasting","Private KidneyOnline longitudinal-care cohort, 1999-2026","2,232 patients; 15,070 patient-years; dynamic rollout points 4,875 train, 1,020 validation, 1,078 test","One clinical platform/source","Patient-level split: 1,562 train, 334 validation, 336 test","Irregular clinical follow-up aggregated by calendar year; annual clinical variables, drug exposure, and patient-clinician messages","Explicit missingness: urine protein 28.2%, blood pressure 40.0%, no communication 33.3%; missingness flags and measurement counts; zero vector for no communication","Eligibility requires at least five annual observations and baseline eGFR above 30; loss to follow-up, death, and competing-event handling NI","Nine-dimensional annual dynamic state plus static sex/pathology and target-time covariates","Predicts next annual eGFR and the next latent state","Sixty-two binary drug-exposure indicators plus a 256-dimensional annual patient-clinician communication embedding","Observed exposure/administration and observed communications; dose and adherence NI","Recurrent GRU latent JEPA with SIGReg and six physiology-aware loss terms","Up to eight annual steps in configuration; dynamic-50-percent-history and fixed-three-year rollouts","Free-running closed-loop prediction with rollout-prefix training that feeds predictions back; first-step anchor and clipping stabilizers","Action-conditioned forecasting with a what-if interface; not a causally identified counterfactual model","GPT-5.5 structured-prompt baseline; medication and communication ablations","Annual eGFR MAE and RMSE","Next-year and multiyear rollout MAE/RMSE","Free-running rollout is measured and stabilized, but no violation rate or horizon-stratified drift analysis","Communication removal, embedding dimension, message intensity/type, and action-channel variants; no action-shuffle or dose-response test","NI; no calibration or predictive-uncertainty evaluation","None; single-source cohort","Hypothetical digital-twin and decision-support use only; no clinician or policy-impact study","Physiology priors, jump penalty, and clipping; no clinical-hazard or subgroup-safety evaluation","No confidence intervals or repeated-seed variance reported","Uses counterfactual intervention and what-if language while explicitly stating it is not a causal estimator","Observed-policy trajectory prediction under a supplied future action sequence","None reported for treatment-effect identification","None reported","No factual-versus-counterfactual ground truth; only observed-trajectory prediction and action-channel ablations","NI","NI","Private cohort","Clinical aggregation and architecture are described, but private extraction and text embeddings prevent full reproduction","NI","Abstract p.1; Sec. 2.4 pp.3-4, including non-causal qualification; Sec. 3 and Fig. 1 pp.4-6; Sec. 4 and Tables 1-3 pp.6-8; Sec. 5 and Tables 4-5 pp.8-9; Secs. 6.2 and 6.4 p.10","Patient-level split, explicit missingness representation, free-running rollout training, and action-channel ablations","Single-source selected cohort; one weak LLM baseline; no causal adjustment, overlap check, calibration, external validation, or statistical uncertainty; annual actions are coarse","open-access","high"
"MWM-0074","EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories","https://arxiv.org/pdf/2602.03569","preprint","Inpatient EHR trajectory generation","MIMIC-IV-derived EHRWorld-110K","110,513 hospitalization episodes and about 17.5M events; test set 579 episodes with 84,010 inquiry events, 25,798 intervention events, and 1,043 diagnoses","One health system, Beth Israel Deaconess Medical Center","Patient-centric subject-ID separation is stated; 579 test episodes; remaining training split stratified by diagnostic category; validation size NI","Irregular timestamped admission-to-discharge event sequences with sets of concurrent events at a timestamp","Low-activity/incomplete episodes are filtered; imputation and remaining missing-data treatment NI","Trajectory ends at discharge; death, discharge type, and competing-event handling NI","Timestamp, demographics, diagnoses and rationales, plus complete preceding event history","Generates explicit values for inquiry events; intervention events are appended to history without an outcome value","Medication administrations, procedures, and clinical inquiries","Observed executed inpatient events","Autoregressive LLM conditional set generation followed by deterministic history update","Full hospitalization from admission to discharge; fixed maximum event count NI","Both next-event teacher-forced evaluation and free-running full-trajectory generation","Action-conditioned clinical trajectory simulation; causal and counterfactual wording is not supported by causal identification","GPT-5.2, Gemini 3 Pro preview, and multiple open general and medical LLMs; no simple count, repeat, or action-agnostic baseline","Clinical-status F1 and event label precision, recall, and F1","Set similarity at 10/15/25, SMAPE for values, and event-label metrics","Next-step versus full-trajectory retention rate and a greater-than-50-percent-change stress subset","NI; no action removal, shuffle, or perturbation evaluation","NI; no calibration or uncertainty evaluation","None; all data derive from MIMIC-IV","No downstream treatment optimization, clinician study, or prospective decision-utility test","Ethics section notes observational bias and need for human oversight; no operational safety test","No confidence intervals or repeated-seed variance reported","Describes causal sequential and causally grounded simulation and mentions counterfactual futures","Prediction of future events under the observed hospital policy","None reported","None reported","None; no known factual-versus-alternative-action comparison","NI","NI","MIMIC-IV is credentialed; availability of the derived EHRWorld-110K resource NI","Event extraction, filtering, prompts, and evaluation are described; derived data and code availability remain unclear","NI","Abstract pp.1-2; Sec. 3 and Fig. 2 pp.3-4; Sec. 4 pp.4-5 and Algorithm 1 p.13; Sec. 5 pp.5-8, Tables 1-2, and Fig. 3; Limitations and Ethics p.9; Appendices A and C pp.11-14","Full-hospitalization evaluation, explicit next-step versus rollout retention, patient separation, and a high-sensitivity stress test","Causal language exceeds evidence; no confounding or overlap analysis, calibration, action ablation, external validation, simple baselines, or released derived resource","open-access","high"
"MWM-0095","GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph","https://doi.org/10.5281/zenodo.20328323","preprint","Rare-disease longitudinal EHR, genomics proposal, and biomedical knowledge graph","Linked Brazilian SUS national subsystems; GEMEO training cohort and RareBench-BR","42,265 patients and 2.4M events for world-model training; RareBench-BR 44,051 trajectories; action analysis 12,380 held-out treatment initiators","Multiple national administrative and clinical subsystems; exact institution count NI","Patient-level 70/15/15 split; geographically external test is claimed but detailed partitioning NI","Sparse irregular MEDS v0.4.1 event stream; at least four events and two codes per patient","NI","Competing-risk head uses 4,624 deaths; main trajectory censoring and loss-to-follow-up handling NI","Manifest clinical event codes with optional PrimeKG context; genome-conditioned state is proposed, but flagship experiments use structured events without patient genomes","Predicts next novel clinical-event distribution and variable-horizon sequences; proposer-verifier produces evidence paths","Treatment or dispensing event token; flagship version collapses many treatments to unknown, while an action variant retains 65 actions","Observed actual treatment initiation","Twenty-million-parameter eight-layer Causal Diffusion Forcing Transformer with recurrence-aware cross-entropy and gated PrimeKG cross-attention","Variable, up to context length 512; evaluations include 12-month transitions and discontinuation beyond six months","Autoregressive/full-sequence diffusion; action test compares actual-treatment versus masked-action prefixes; Level-3 counterfactual rollout not performed","Validated for Level-1 prediction and a Level-2 action-association test; Level-3 counterfactual capability is a design target only","Frequency, count, bigram, and repeat-last baselines","New-onset Top-1, AUROC, recall at 1, genomic AUROC, survival concordance","Action delta-log-probability and KL divergence; long-context task metrics","Long-context tasks are evaluated, but no trajectory-drift or clinical-constraint failure metric","Actual-treatment versus masked-action prefixes; reported delta-log-probability and KL divergence","Integrated calibration index reported; method detail is limited; 2,000-bootstrap confidence intervals","A geographically external test is claimed, but source and partition details are sparse","Research benchmark and proposer-verifier evidence paths; no prospective clinician or decision-impact study","Deterministic evidence paths and research-only oversight language; no recommendation-hazard evaluation","Two-thousand bootstrap confidence intervals","Uses counterfactual language for a future Level-3 target; current action test is associative","Future-event likelihood under an observed actual versus masked treatment token, not a treatment effect","None reported","None reported","None; synthetic-SCM and trial-replication counterfactual validation are future work","Public repository, Apache-2.0","Public weights, CC-BY-NC-4.0","Public benchmark under CC-BY-NC-4.0; underlying linked extraction is not openly redistributable","Pipeline and artifact claims are described, but external reproduction of the underlying extraction is restricted","Random initialization mentioned; seeds NI","Abstract p.1; Sec. 2 pp.2-3; Sec. 3 pp.3-6 and Tables 1-3; Sec. 4 p.6; Methods p.7; Limitations, Ethics, and Data statements pp.7-8","Explicit capability-level boundary, strong simple baselines, action-mask test, bootstrap intervals, and open code/weights/benchmark","Self-released non-peer-reviewed manuscript; headline combines many components; flagship is not genome-conditioned; no causal or Level-3 counterfactual validation; external-test detail is sparse","open-access","medium"
"MWM-0132","NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics","https://arxiv.org/pdf/2608.01773","preprint","Naturalistic movie fMRI and stimulus-conditioned brain dynamics","Algonauts, CineBrain, and SG-MIND naturalistic fMRI datasets","30 participants total: Algonauts four subjects and about 260 person-hours; CineBrain six and about 36 hours; SG-MIND 20, 8,519 clips and 140.7 hours","Multiple datasets/sites; SG-MIND is collected at one NUS site; exact aggregate institution count NI","Fixed-seed 80/20 held-out-stimulus split per benchmark; Algonauts season 6 is held-out external content","Regular fMRI TR grids of 0.719, 0.80, or 1.49 seconds aligned to video, audio, and text; brain signals represented in 1,000 parcels","SG-MIND motion censoring/interpolation is described; other dataset missing-data handling NI","NA","Latent ROI-level whole-brain fMRI state with subject-specific decoding","Subject-specific decoder predicts whole-brain parcel responses","Temporally aligned video, audio, and text stimulus tokens; no treatment or control action","Externally supplied observed movie stimuli","Causal Transformer predicts next latent with stimulus-conditioned AdaLN and SIGReg; stage 1 uses teacher forcing and stage 2 autoregressive latent rollout","Default 20 TRs; evaluated to 50 and 100 TRs; elapsed time depends on dataset TR","Stage 1 teacher-forced next-state learning; stage 2 free-runs from one observed TR under a fixed stimulus stream","Passive stimulus-conditioned forecasting, not causal intervention or counterfactual simulation","Linear model, causally masked TRIBE, MIRAGE, and quoted BrainVista results","Global correlation, mean parcel-wise Pearson correlation, and classification at Top-10","Forecast correlation and classification metrics across horizons","Performance reported at 20, 50, and 100 TR horizons; no physiological-constraint failure rate","Mismatched temporal stimulus alignment and modality-removal ablations","NI; no predictive calibration or uncertainty evaluation","Three datasets and held-out Algonauts content; no unseen-subject or independent clinical-cohort validation","Neuroscience simulation and interpretability only; no clinical decision utility","NA","Interpretability uses 1,000-spin tests with FDR correction; predictive comparisons lack confidence intervals and repeated-seed variance","Causal denotes past-only attention, not causal-effect identification","Prediction of brain response to observed naturalistic stimuli","NA","NA","NA","Code promised upon acceptance","NI","Public benchmark datasets plus SG-MIND; SG-MIND access terms NI","Alignment, parcellation, architecture, splits, and training are described","Fixed split seed reported; repeated model seeds NI","Abstract p.1; Sec. III and Fig. 3 pp.3-5; Sec. IV, Tables I-III pp.5-8; Discussion pp.9-10","Clear teacher-forcing versus rollout stages, horizon analysis, stimulus-mismatch test, modality ablations, and three benchmarks","Causal wording is temporal only; no uncertainty; subject-specific heads evaluate seen cohorts; SG-MIND access is unclear; no confidence intervals for forecasting","open-access","high"
"MWM-0138","Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics","https://arxiv.org/pdf/2604.21017","preprint","Medical robotics and surgical multi-embodiment video prediction","Open-H-Embodiment and the C-H-S-S world-model subset","Open-H: 119 datasets, 780 hours, 125,815 episodes, 20 platforms, 33 task families; C-H-S-S: 32 datasets and nine embodiments","More than 50 institutions worldwide","Each constituent dataset uses a 5% held-out test; C-H-S-S evaluates two episodes from each of 25 eligible datasets with fixed selection seed; seven datasets excluded for clips shorter than 72 frames","Synchronized heterogeneous surgical video and robot kinematics; approximately 10-fps normalized clips; actions normalized by embodiment","NA","NA","Single context image and latent video state","Generates 12 future RGB frames per chunk","Unified 44-dimensional hybrid-relative robot kinematics","Recorded demonstrated robot actions replayed open-loop","Two-billion-parameter Cosmos-Predict2.5 latent video diffusion Transformer with MLP action conditioning","Seventy-two frames in six 12-frame chunks, approximately 7.2 seconds at 10 fps","Autoregressive free-running video chunks conditioned on replayed recorded actions; not closed-loop action selection","Action-conditioned, multi-embodiment surgical simulation; closed-loop policy utility is broader project motivation rather than a C-H-S-S result","Policy comparisons include GR00T-N1.6 and ACT; world-model comparisons lack a matched action-agnostic baseline","Per-frame L1 and SSIM","Per-frame L1 and SSIM over generated horizons; separate policy task success","Per-frame/chunk drift, sawtooth behavior, three-seed variability, and benchtop-versus-tissue stratification","NI; no action removal, shuffle, or perturbation test","Three generation seeds with mean and SD; no probabilistic calibration","Broad multisite and multiplatform coverage within the assembled datasets; no independent live-tissue clinical deployment","In-silico evaluation and synthetic-data/policy research; no validated human-surgery decision utility","Limitations analyze failures, unexpected events, and absence of live tissue; no formal simulator-hazard evaluation","World model reports mean and SD over three seeds; policy success has Clopper-Pearson 95% confidence intervals","No causal-effect claim; predicts physical visual consequences under recorded actions","Conditional future-video prediction under demonstrated actions","NA","NA","NA","Public code","Public model checkpoints are linked; exact license varies by component and is NI","Open-H dataset released under CC-BY-4.0","Detailed schema, normalization, conversion, filtering, model, and evaluation protocol","Fixed episode-selection seed and three generation seeds","Abstract pp.1-2; Results pp.7-9 and Table 1; C-H-S-S pp.18-22 and Fig. 7; Methods pp.25-29; Data Availability p.36","Large, diverse, open resource; actual kinematic action conditioning; horizon- and seed-stratified evaluation; confidence intervals for policy success","Open-loop action replay and pixel metrics; success-demo bias; only two episodes per dataset; no action intervention test or broad closed-loop validation","open-access","high"
"MWM-0157","SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation","https://arxiv.org/pdf/2603.13024","preprint","Laparoscopic surgical video generation and augmentation","Curated clips from 21 YouTube videos plus 80 videos from HeiChole, Cholec80, SurgVU, and CRCD","12,044 final clips from 101 source videos; paper separately lists 2,760 and 12,878 source clips, which does not reconcile with the final count","Multiple public datasets and online videos; exact institution count NI","Source-video split: 11,502 training clips and 542 test clips","Eighty-one-frame 25-fps RGB clips at 1024 by 576 with language, tissue affordance, and 2D tool-tip tracks","NA","NA","First RGB frame, tissue-affordance representation, language condition, and planned 2D trajectory","Generates an 81-frame RGB surgical video","Two-dimensional tool-tip trajectory plus language action context; not a robot kinematic command","Extracted from observed video or user/simulator supplied at generation time","LTX latent diffusion/flow-matching model with IC-LoRA conditioning and a longitudinal depth-consistency loss","Eighty-one frames, approximately 3.24 seconds","Single-shot diffusion conditioned on the entire planned trajectory; no autoregressive closed-loop control","Controllable action-video synthesis, not planning or counterfactual clinical simulation","WAN, LTX, SurgSora; downstream CNN and ViT recognition models","FVD, condition-aware CD-FVD, SSIM, PSNR, and LPIPS; downstream per-class F1","Video similarity and condition-aware generation metrics","CD-FVD tests condition consistency, but no long-rollout or constraint-failure evaluation","Removal of trajectory, affordance, language, first frame, or depth-consistency loss","NI; no calibration or predictive uncertainty","Held-out source videos only; no independent clinical site","Rare-action augmentation and qualitative simulator rendering; no measured clinician or robot decision impact","Depth consistency targets geometry; no collision, harm, or physical-safety test","No confidence intervals or repeated-seed variance reported","No causal-effect claim","Conditional surgical video generation under a supplied 2D path","NA","NA","NA","NI","NI","Component datasets have mixed public access; curated annotations and assembled corpus availability NI","Clip construction, conditions, architecture, and training are described","NI","Abstract p.1; Sec. 2 and Fig. 1 pp.2-4; Sec. 3 and Tables 1-2 pp.4-6; Sec. 4 and Table 3 pp.6-9; Conclusion p.10","Source-video split, multiple conditioning ablations, condition-aware metrics, and downstream real-test augmentation","Short open-loop videos; no kinematic actions, closed loop, clinical safety, uncertainty, or artifact release; reported source-clip arithmetic is internally inconsistent","open-access","medium-high"
"MWM-0173","Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning","https://arxiv.org/pdf/2608.11204","preprint","Surgical robotic control","SurRoL simulated dVRK tasks; prior surgical-video checkpoint; qualitative JIGSAWS extension","10,000 SurRoL demonstrations across four tasks; 100 evaluation episodes per reported result; exact action-free pretraining scale NI","Simulation plus JIGSAWS public data; institution count NA for simulation and NI for qualitative real-video source aggregation","Demonstration train/test split details NI; evaluations use 100 simulation episodes","Current endoscopic RGB, robot proprioception, task text, and recurrent closed-loop observations","NA","Episode termination and failure handling are task-specific; exact censoring rules NI","Current image, proprioceptive state, and task instruction","Jointly predicts future video/state tokens and a 16-action chunk","Absolute Cartesian end-effector targets and gripper command","Executed robot actions from demonstrations during training and model-generated actions during control","Cosmos Policy diffusion Transformer jointly models video and action sequences","Action chunk 16; default execution horizon four actions before replanning; maximum episode length NI","Closed-loop receding-horizon control: predict a chunk, execute a prefix, observe, and replan","Closed-loop surgical robot planning and control","BET, DEX, ALOHA, Diffusion Policy, and pi0.5; matched WAM without action-free pretraining","Closed-loop task-success rate; no direct generated-state fidelity metric","No separate one-step transition metric; success reflects combined model and control","Success compared for execution horizons 1, 2, 4, and 8 and across training checkpoints","NI; no action-shuffle, perturbation, or dose-response analogue","NI; no calibrated action or state uncertainty","JIGSAWS provides qualitative real-video adaptation only; no quantitative real-robot closed-loop validation","Simulated surgical task success only","No formal collision, hazard, or constraint evaluation; quantitative tests are simulation-only","One hundred episodes per result; no confidence intervals or repeated-seed variance reported","No causal-effect claim","Closed-loop task success under the learned policy","NA","NA","NA","NI","NI","SurRoL and JIGSAWS are public; adapted training artifacts and checkpoint access NI","Architecture and main training settings are described; data split, extraction, and some checkpoint details are insufficient","NI","Abstract pp.1-2; Sec. 3 and Fig. 2 pp.4-5; Sec. 4, Tables 1-3, and Fig. 3 pp.5-8; Conclusion pp.7-8","Direct closed-loop evaluation, matched action-free-pretraining ablation, strong policy baselines, and execution-horizon analysis","Quantitative evidence is simulation-only; no visual-fidelity, uncertainty, formal safety, or quantitative real-data result; split, randomness, and release details are unclear","open-access","high"
"MWM-0177","SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation","https://arxiv.org/pdf/2605.16530","preprint","Cataract-surgery simulation and video generation","Filtered Cataract-1K and CATARACTS videos","868 Cataract-1K videos and 50 CATARACTS videos; six surgical phases","At least two source datasets; exact contributing institution count NI","Video-level 80/10/10 split for Cataract-1K and 50/6/44 split for CATARACTS","Four-fps, 16-frame RGB clips resized to 128 by 128 with anatomy, tool, phase, and scene-graph annotations","NA","NA","Rule-based simulator anatomy and tool kinematics, scene graph, and optional initial image","Generates a realistic 16-frame surgical video","Explicit tool-motion changes in the rule simulator","Extracted/replayed from observed video or generated by the simulator","Deterministic Godot rule simulator plus scene-graph-, image-, and video-conditioned diffusion with ControlNet","Sixteen frames or four seconds; full videos are chained autoregressively for augmentation","Fixed-action simulation for each clip; autoregressive chaining for downstream full-video generation; no learned closed-loop policy","Action-conditioned interactive surgical simulation","StyleGAN-V, Endora, MedSora, LVDM, MOFA, and SG2VID","FVD, FID, LPIPS diversity, tool-detection bounding-box IoU and F1, and downstream phase accuracy/F1","Video fidelity and tool-localization metrics","NI; no explicit long-rollout drift or physical-constraint failure rate","Scene-graph and image-conditioning ablations; qualitative novel-motion tests","NI; no calibrated uncertainty","Evaluated on two datasets and cross-style transfer; no held-out institution or clinical outcome validation","Data augmentation for phase recognition; no trainee, clinician, or robot decision-impact evaluation","Rule simulator supplies physical structure, but no constraint-violation or hazard test","No confidence intervals or repeated-seed variance reported","No causal-effect claim","Conditional surgical-video prediction under specified tool motion","NA","NA","NA","Public project repository","Public checkpoints linked; exact licenses NI","Public base datasets and project artifacts are linked; base-data access remains dataset-specific","Detailed simulator, graph, clip, model, and training description","NI","Abstract p.1; Sec. 2 and Fig. 2 pp.3-6; Sec. 3 and Tables 1-2 pp.6-8; Conclusion p.9","Explicit simulator actions and physics/neural decomposition; two datasets; conditioning ablations; novel-motion demonstrations; public artifacts","Novel motions are qualitative; no closed-loop or physical validation, safety, or calibration; short horizon; LPIPS is used as diversity rather than direct fidelity","open-access","high"
