candidate_id,title,field,reviewer_a,reviewer_b,reviewer_a_notes,reviewer_b_notes,reviewer_a_anchors,reviewer_b_anchors
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,rollout_evidence,1,2,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_evidence,1,2,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,causal_evidence,0,NA,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,horizon_resolved_results,no,yes,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_agnostic_comparator,no,yes,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,explicit_causal_estimand,no,NA,"Planning is demonstrated only inside an individually fitted latent model. Region-restricted controls support action sensitivity, but there is no action-agnostic predictive comparator, formal calibration, external cohort, identified causal estimand, or physiological hazard test. Hyperparameters/model selection used test data in a subset.","Planning is demonstrated only in the learned fMRI model. The controls are simulated and not clinical interventions. Test-segment loss is used to select among five initialized models, and there is no external validation, formal calibration, causal treatment claim, or safety test.","PMC13370802 Methods: held-out fMRI reconstruction and closed-loop control; Results Figs. 2-6 report spectra, functional connectivity, target likelihood and control energy; Limitations state one dataset and no empirical stimulation validation; GitHub humml-lab/fmri-control.","Methods 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures report power-spectrum Hellinger distance, functional-connectivity agreement, 80-step controlled trajectories, target proximity, control energy, and 11 region-restricted controls; Data Availability identifies humml-lab/fmri-control."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,causal_evidence,1,2,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,external_evidence,0,1,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,free_running_rollout,yes,no,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,frozen_external_validation,no,yes,"This is strong within-simulator planning evidence with baseline containment, multiple policy perturbations and constraints. Causal evidence is partial because the estimand and matched random streams are explicit only within an assumed synthetic system; no real-hospital identification or external validation exists. Safety is a constraint/stress proxy, not clinical safety.","The causal/policy contrast is fully defined inside a known synthetic simulator, hence causal evidence is strong for that simulated data-generating process but does not establish real-hospital effects. The learned predictor is fixed-horizon, not shown consuming its own generated states recursively. Frozen validation is synthetic zero-shot shift.","medRxiv v1 Methods: synthetic hospital, H=7 graph forecasting, matched policy branches and MILP; Results report stress tests, held-out action-ranking accuracy/regret/non-worsening; official predictive and causal GitHub repositories.","Preprint Methods define the synthetic 10-ward/200-patient/300-staff hospital, T=7/H=7 prediction, partial surveillance, five-policy branch, common deterministic noise, and constrained optimization; Results report surveillance and distribution-shift stress tests and policy ranking; equation defines ΔB7(a)=B7(baseline)-B7(a)."
