candidate_id,title,abstract,final_corpus_type,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,final_decision,final_reason_code,resolution_route,adjudication_rationale,source_routes,source_record_ids,exact_match_group_size,manual_lineage_review_required,lineage_action,lineage_canonical_candidate_id,lineage_relation_type,lineage_rationale,lineage_source_anchor,lineage_confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,"Controlling blood glucose levels in diabetic patients is important for managing their health and quality of life. Several algorithms based on model predictive control and reinforcement learning (RL) have been proposed so far, most of which use prior knowledge of physiological systems, the mathematical structure of blood glucose dynamics, and many episodes including failures for training the policy network in RL. To be smoothly adopted in clinical settings, we propose a fast online learning method underlining safety and interpretability. A random forest regressor and a dual attention network were exploited for glucose prediction and extension of state variables. The soft actor-critic network to determine insulin dosing was guided by proportional-integral-derivative (PID) control in the early phase, and an adaptive safe actor with suspension and additional insulin dosing was incorporated. The performance of the models was validated using an FDA-approved type 1 diabetes simulator. The results showed comparable outcomes with PID control. Using this system, glucose dynamics could be captured despite minimal prior knowledge. The extended state variables were correlated with basic states such as glucose, insulin, and meal intake, their derivatives, and their integrals, which can be fundamental elements of mathematical modeling of physiological responses. Attention scores and attribution scores in the prediction and control models represented the focused features and the internal operation of the models with interpretability. We expect this study to provide some insights on how RL can be practically adopted in clinical environments and how interpretability can provide hints of machines' thoughts for clinical applications.",empirical,Min Hyuk Lim; Woo Hyung Lee; Byoungjun Jeon; Sungwan Kim,2021,2021-01-01,IEEE Access,10.1109/access.2021.3100007,,https://doi.org/10.1109/access.2021.3100007,article,['openalex'],"['""world model"" clinical', '""world model"" medicine', '""world model"" patient', '""world model"" physiology']",open-access,include,include_empirical,merged_inclusion_sources,"Online RFR and dual-attention models learn 30-45-minute glucose transitions from glucose, insulin action, and meal histories; these predictions form extended states and safety triggers for SAC, with forecast and closed-loop trajectory evaluation in the UVA/Padova simulator.",exhaustive_rescreen,AUD-4e37c79357ee,1,no,retain,MWM-XA9B007D895,no_related_version_identified,"The IEEE Access article is the stable full publication. Exact-title, author, DOI, update, and corpus comparisons found no duplicate, successor, correction, withdrawal, or retraction record.",https://doi.org/10.1109/access.2021.3100007,high
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",empirical,Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"SimulAD learns a latent ODE transition over amyloid, tau, MRI, and cognition from longitudinal ADNI data, then evaluates intervention-conditioned multistep trajectories against six Phase III trials and power outcomes.",expanded_search,ALT-36a3691f146d,1,no,retain,MWM-X36A3691F14,companion_study_family,"This preprint explicitly applies and extends SimulAD to retrospective Phase III trial validation and prospective power design. It is a distinct evaluation extension of MWM-XC71FC75483 and MWM-XB6F8EC5868, not a duplicate publication of either paper.",https://doi.org/10.64898/2026.05.03.26352317;https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.1093/braincomms/fcab091,high
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,"Autosomal Dominant Tubulointerstitial Kidney Disease (ADTKD) is the third most common inherited monogenic kidney disorder. Mutations in UMOD and MUC1 account for most cases, with the disease characterized by progressive eGFR decline leading to kidney failure. No disease-modifying therapies exist, and transplantation is the only current option. Designing trials for ADTKD is hampered by small patient numbers, variable progression rates, and uncertainty around optimal endpoints. Building on natural history data from Wake Forest School of Medicine, nonlinear mixed-effects models were developed to describe eGFR decline in UMOD and MUC1 variants. These models formed the foundation for a web-based clinical trial simulation (CTS) tool (https://app.cop.ufl.edu/adtkd/) built in R Shiny. The tool allows users to define trial populations, configure design parameters, and estimate statistical power by simulating placebo vs. assumed treatment arms. Drug effects were modeled as percentage changes in key parameters of the developed disease progression models describing individual-level eGFR trajectory over age: DPT50 (age at which eGFR is half of its maximum decline), γ 1 $$ {\gamma}_1 $$ and γ 2 $$ {\gamma}_2 $$ (steepness before and after DPT50). Both slope-based eGFR change and end-of-trial eGFR measures functioned as effective surrogate endpoints. Herein, we present the model-based CTS tool developed for ADTKD and demonstrate its use in designing and evaluating clinical trial scenarios, illustrated by two representative case studies. The CTS tool provides a pragmatic framework for optimizing ADTKD trial design. By enabling scenario testing and highlighting genotype-specific considerations, it supports efficient, cost-effective planning and represents an example of model-informed drug development in rare kidney diseases.",empirical,Shyam S Ramesh; Mark Rogge; Jongjin Kim; Sanghoon Kang; Kendrah Kidd; Adrienne Williams; Julie Roignot; Katherine Blakeslee; Anthony J Bleyer; Sarah Kim,2026,2026,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.70258,,https://pubmed.ncbi.nlm.nih.gov/42062819/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.,expanded_search,ALT-6fb8e7370e1e,1,no,retain,MWM-X6FB8E7370E,companion_trial_simulator_series,"This is a disease-specific ADTKD case-study article in the model-informed clinical-trial-simulator series. It shares platform lineage with MWM-X872C154484 and MWM-X2E0B832A46 but has a different disease model, evidence set, and article, so all three remain separate.",https://doi.org/10.1002/psp4.70258;https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.13193,high
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,"Magnetically manipulated medical robots are a promising alternative to current robotic platforms, allowing for miniaturization and tetherless actuation. Controlling such systems autonomously may enable safe, accurate operation. However, classical control methods require rigorous models of magnetic fields, robot dynamics, and robot environments, which can be difficult to generate. Model-free reinforcement learning (RL) offers an alternative that can bypass these requirements. We apply RL to a robotic magnetic needle manipulation system. Reinforcement learning algorithms often require long runtimes, making them impractical for many surgical robotics applications, most of which require careful, constant monitoring. Our approach first constructs a model-based simulation (MBS) on guided real-world exploration, learning the dynamics of the environment. After intensive MBS environment training, we transfer the learned behavior from the MBS environment to the real-world. Our MBS method applies RL roughly 200 times faster than doing so in the real world, and achieves a 6 mm root-mean-square (RMS) error for a square reference trajectory. In comparison, pure simulation-based approaches fail to transfer, producing a 31 mm RMS error. These results demonstrate that MBS environments are a good solution for domains where running model-free RL is impractical, especially if an accurate simulation is not available.",empirical,"Barnoy Y, Erin O, Raval S, Pryor W, Mair LO, Weinberg IN, Diaz-Mercado Y, Krieger A, Hager GD.",2022,2022-10-12,IEEE Transactions on Medical Robotics and Bionics,10.1109/tmrb.2022.3214426,,https://europepmc.org/article/MED/37600471,article,"['europe_pmc', 'openalex']","['""world model"" medicine', '""world model"" patient', 'europe_pmc_core']",indexed,include,include_empirical,merged_inclusion_sources,Real magnetic-needle trajectories train a neural next-state dynamics model from needle state and coil action; the learned simulator trains controllers whose pressure-free motion trajectories are then evaluated in simulation and on the physical surgical robot.,exhaustive_rescreen,AUD-4dcfd3695dbe,1,no,retain,MWM-XA5A2F4844E,no_related_version_identified,"The IEEE Transactions on Medical Robotics and Bionics article is the stable full report. No same-study preprint or conference record in the corpus, publication correction, withdrawal, or retraction was identified.",https://doi.org/10.1109/tmrb.2022.3214426,high
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,"Early clinical trials of therapies to treat Duchenne muscular dystrophy (DMD), a fatal genetic X-linked pediatric disease, have been designed based on the limited understanding of natural disease progression and variability in clinical measures over different stages of the continuum of the disease. The objective was to inform the design of DMD clinical trials by developing a disease progression model-based clinical trial simulation (CTS) platform based on measures commonly used in DMD trials. Data were integrated from past studies through the Duchenne Regulatory Science Consortium founded by the Critical Path Institute (15 clinical trials and studies, 1505 subjects, 27,252 observations). Using a nonlinear mixed-effects modeling approach, longitudinal dynamics of five measures were modeled (NorthStar Ambulatory Assessment, forced vital capacity, and the velocities of the following three timed functional tests: time to stand from supine, time to climb 4 stairs, and 10 meter walk-run time). The models were validated on external data sets and captured longitudinal changes in the five measures well, including both early disease when function improves as a result of growth and development and the decline in function in later stages. The models can be used in the CTS platform to perform trial simulations to optimize the selection of inclusion/exclusion criteria, selection of measures, and other trial parameters. The data sets and models have been reviewed by the US Food and Drug Administration and the European Medicines Agency; have been accepted into the Fit-for-Purpose and Qualification for Novel Methodologies pathways, respectively; and will be submitted for potential endorsement by both agencies.",empirical,Karthik Lingineni; Varun Aggarwal; Juan Francisco Morales; Daniela J Conrado; Diane Corey; Camille Vong; Jackson Burton; Jane Larkindale; Klaus Romero; Stephan Schmidt; Sarah Kim; Cooperative International Neuromuscular Research Group investigators and Duchenne Regulatory Science Consortium members,2022,2022,CPT: pharmacometrics & systems pharmacology,10.1002/psp4.12753,,https://pubmed.ncbi.nlm.nih.gov/34877803/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,"Nonlinear mixed-effects models fit five longitudinal Duchenne measures from 27,252 observations, externally validate their trajectories, and drive repeated clinical-trial simulations.",expanded_search,ALT-872c15448450,1,no,retain,MWM-X872C154484,companion_trial_simulator_series,"This article develops the Duchenne muscular dystrophy simulator platform. It shares model-informed-development lineage with the later T1D and ADTKD case studies, but each paper has a distinct disease model, dataset, and validation target; it is not a duplicate.",https://doi.org/10.1002/psp4.12753;https://doi.org/10.1002/psp4.13193;https://doi.org/10.1002/psp4.70258,high
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,"Abstract Understanding how high-dimensional neural activity and behavior emerge from shared underlying dynamics remains a fundamental challenge in neuroscience. Addressing this problem is key to enabling digital twins that can faithfully reproduce and predict the multiscale brain–behavior dynamics of living systems. Here we present NEBULA (NEural and Behavioral modeling through Unified LAtent dynamics), a generative framework that jointly models whole-brain neural activity and behavior. By applying NEBULA to brain-wide recordings from C. elegans , we identify a shared low-dimensional dynamical manifold that underlies both neural activity and behavior, enabling long-horizon generation and targeted in silico interventions. Perturbations of the learned dynamics reveal behaviorally relevant transition points, whereas steering interventions enable controlled manipulation of neural and behavioral states without retraining. These results establish a framework for linking brain dynamics to behavior in a living organism and provide a foundation for scalable virtual experimentation in neuroscience.",empirical,Davide Nuzzi; Maurizio Mattia; Giovanni Pezzulo,2026,2026,openRxiv,10.64898/2026.06.05.730482,,https://doi.org/10.64898/2026.06.05.730482,posted-content,crossref,"""latent dynamics"" medical;""latent dynamics"" physiological",registered,include,include_empirical,merged_inclusion_sources,"NEBULA learns shared neural-behavioral latent transitions from whole-brain recordings, evaluates long-horizon free generation, and performs targeted perturbation and steering interventions.",expanded_search,ALT-056bf65776d0,1,no,retain,MWM-X056BF65776,current_preprint_no_successor_identified,"The bioRxiv DOI is the current report. It is distinct in authors, data, and model from the primate ECoG digital-twin article and other neural-dynamics records; no successor or unstable-publication signal was found.",https://doi.org/10.64898/2026.06.05.730482,medium
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,"A bstract We consider the problem of controlling an invasive mechanical ventilator for pressure-controlled ventilation: a controller must let air in and out of a sedated patient’s lungs according to a trajectory of airway pressures specified by a clinician. Hand-tuned PID controllers and similar variants have comprised the industry standard for decades, yet can behave poorly by over- or under-shooting their target or oscillating rapidly. We consider a data-driven machine learning approach: First, we train a simulator based on data we collect from an artificial lung. Then, we train deep neural network controllers on these simulators. We show that our controllers are able to track target pressure waveforms significantly better than PID controllers. We further show that a learned controller generalizes across lungs with varying characteristics much more readily than PID controllers do.",empirical,Daniel Suo; Cyril Zhang; Paula Gradu; Udaya Ghai; Xinyi Chen; Edgar Minasyan; Naman Agarwal; Karan Singh; Julienne LaChance; Tom J. Zajdel; Manuel Schottdorf; Daniel J. Cohen; Elad Hazan,2021,2021-03-01,medRxiv,10.1101/2021.02.26.21252524,2102.06779,https://doi.org/10.1101/2021.02.26.21252524,preprint,['openalex'],"['""world model"" medicine', '""world model"" patient', '""world model"" physiology']",open-access,include,include_empirical,merged_inclusion_sources,State-action-pressure trajectories collected from a physical artificial lung train neural lung simulators; controllers optimized through those learned transitions are directly evaluated for multi-breath pressure-waveform tracking on held-out lung settings and hardware.,exhaustive_rescreen,AUD-6f1d52747327,1,no,retain,MWM-XC890A9B151,cross_repository_versions_and_extended_abstract,medRxiv 10.1101/2021.02.26.21252524 and arXiv 2102.06779 are the same full study; arXiv 2111.10434 is a later extended abstract with overlapping authors and results. The full study remains canonical and no second corpus candidate exists.,https://doi.org/10.1101/2021.02.26.21252524;https://arxiv.org/abs/2102.06779v4;https://arxiv.org/abs/2111.10434v3,high
MWM-XBAD327876F,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,"Accurate medication dosing holds an important position in the overall patient therapeutic process. Therefore, much research has been conducted to develop optimal administration strategy based on Reinforcement learning (RL). However, Relying solely on a few explicitly defined reward functions makes it difficult to learn a treatment strategy that encompasses the diverse characteristics of various patients. Moreover, the multitude of drugs utilized in clinical practice makes it infeasible to construct a dedicated reward function for each medication. Here, we tried to develop a reward network that captures clinicians' therapeutic intentions, departing from explicit rewards, and to derive an optimal heparin dosing policy. In this study, we introduce Offline Model-based Guided Reward Learning (OMG-RL), which performs offline inverse RL (IRL). Through OMG-RL, we learn a parameterized reward function that captures the expert's intentions from limited data, thereby enhancing the agent's policy. We validate the proposed approach on the heparin dosing task. We show that OMG-RL policy is positively reinforced not only in terms of the learned reward network but also in activated partial thromboplastin time (aPTT), a key indicator for monitoring the effects of heparin. This means that the OMG-RL policy adequately reflects clinician's intentions. This approach can be widely utilized not only for the heparin dosing problem but also for RL-based medication dosing tasks in general.",empirical,Yooseok Lim; Sujee Lee,2024,2024-09-20,arXiv (Cornell University),10.48550/arxiv.2409.13299,2409.13299,http://arxiv.org/abs/2409.13299,preprint,['openalex'],"['""world model"" treatment']",open-access,include,include_empirical,merged_inclusion_sources,"Clinical heparin trajectories train an ensemble probabilistic dynamics model of patient state under dosing actions; recursive model rollouts generate trajectories for reward and policy learning, followed by off-policy return and treatment-success evaluation.",exhaustive_rescreen,AUD-d2a31182ebf8,1,no,retain,MWM-XBAD327876F,preprint_to_journal_successor,arXiv 2409.13299 v2 was published with the same title and authors in Biomedical Engineering Advances as DOI 10.1016/j.bea.2025.100198. Retain the candidate but use the journal article as its canonical publication version.,https://arxiv.org/abs/2409.13299v2;https://doi.org/10.1016/j.bea.2025.100198,high
MWM-XC71FC75483,SimulAD: a dynamical model for personalized simulation and disease staging in Alzheimer's disease.,"SimulAD is a computational disease progression model (DPM) originally developed on the ADNI database to simulate the evolution of clinical and imaging markers characteristic of AD, and to quantify the disease severity (DS) of a subject. In this work, we assessed the validity of this estimated DS, as well as the generalization of the DPM., by applying SimulAD on a new cohort from the Geneva Memory Center (GMC). The differences between the estimated DS of healthy, mild cognitive impairment and AD dementia groups were statistically significant (p-values < 0.05; d ≥ 0.8). DS correlated with MMSE (ρ = -0.55), hippocampal atrophy (ρ = -0.62), glucose hypometabolism (ρ = -0.67), amyloid burden (ρ = 0.31) and tau deposition (ρ = 0.62) (p-values < 0.01). Based on the dynamics estimated on the ADNI cohort, we simulated a DPM for the subjects of the GMC cohort. The difference between the temporal evolution of similar biomarkers simulated on the ADNI and GMC cohorts remained below 10%. This study illustrates the robustness and good generalization of SimulAD, highlighting its potential for clinical and pharmaceutical studies.",empirical,Abi Nader Clément; Federica Ribaldi; Giovanni B Frisoni; Valentina Garibotto; Philippe Robert; Nicholas Ayache; Marco Lorenzi,2022,2022,Neurobiology of aging,10.1016/j.neurobiolaging.2021.12.015,,https://pubmed.ncbi.nlm.nih.gov/35320737/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,include,include_empirical,merged_inclusion_sources,SimulAD learns joint imaging and clinical biomarker dynamics from ADNI and evaluates personalized trajectory simulation and disease-stage generalization in an independent Geneva cohort.,expanded_search,ALT-c71fc7548383,1,no,retain,MWM-XC71FC75483,companion_study_family,"This article validates the SimulAD disease-progression model and staging measure on an external cohort. It is related to the earlier intervention simulation MWM-XB6F8EC5868 and later Phase III extension MWM-X36A3691F14, but each has a distinct primary question and evidence set.",https://doi.org/10.1016/j.neurobiolaging.2021.12.015;https://doi.org/10.1093/braincomms/fcab091;https://doi.org/10.64898/2026.05.03.26352317,high
MWM-XCC1C1352D9,The Coupled Stochastic Dynamical System: A Generative Model for Simulating and Forecasting Youth Mental Health Trajectories,"Mechanism-informed models that can simulate counterfactual mental-health trajectories remain scarce in digital phenotyping. Most existing approaches either predict outcomes from sensor-derived data without specifying the cross-domain generative process or reconstruct latent dynamics without encoding the mechanistic assumptions needed for intervention simulation. Here, we introduce the Coupled Stochastic Dynamical System (CSDS), a forward generative model that jointly simulates digital engagement, wearable physiology, and psychiatric burden as a family of coupled stochastic processes. Using the multi-year GLOBEM cohort (N=496) integrating passive sensing, ecological momentary assessment, and survey-based measures, we first identified four distinct behavioural phenotypes by clustering. Bayesian inversion of the CSDS satisfied 80–83% of clusters’ weighted phenotype targets through separable traitvulnerability, physical-activity, and affective-response parameter families. Participant-level inversion produced virtual twins that recovered the individual dynamic structure of complex human behaviours: Hidden Markov Models trained on the synthetic timeseries decoded observed state occupancy and transitions ( r =0.84–0.87 and 0.93–0.94), and outperformed mean- or persistence-based null models in shorthorizon magnitude prediction, with sparser affective channels showing horizon-stable directional forecasting above chance (66–78% balanced accuracy to 21 days). These findings position generative behavioural models as falsifiable and interpretable frameworks for studying youth mental-health trajectories and for developing future personalised interventions.",empirical,"Koutsouleris N, Turner G, Grüning DJ, Penzel N, Jacobs G, Fietz J, Buciuman M, Urquijo M, Mena S, Fraza C, Lalousis P, Antonucci LA, Schneider S, Wang H, Jirsa V, Slovak P, Orben A.",2026,2026-07-29,,10.64898/2026.07.26.26358943,,https://europepmc.org/article/PPR/PPR1288838,,europe_pmc,europe_pmc_core,indexed,include,include_empirical,merged_inclusion_sources,"CSDS is calibrated by Bayesian inversion to multimodal longitudinal sensing and symptom data, then directly evaluates individual virtual-twin state transitions and forecasts through 21 days.",expanded_search,ALT-cc1c1352d964,1,no,retain,MWM-XCC1C1352D9,current_preprint_no_successor_identified,"The medRxiv DOI is the current primary report. No same-title successor, duplicate corpus record, correction, withdrawal, or retraction was identified by the cutoff.",https://doi.org/10.64898/2026.07.26.26358943,medium
